customer_id,customer_code,customer_name,customer_type,customer_price_sensitivity,customer_visit_frequency
1,CUS001,Claudine Weiss-Bernier,Local,0.97,2
2,CUS002,Franck Devaux,Local,0.34,3
3,CUS003,Adrienne Torres,Professionnel,0.88,1
4,CUS004,Henri Chauveau de Martel,Local,0.51,2
5,CUS005,Véronique Hoareau,Touriste,0.4,1
6,CUS006,Julien du Fernandez,Local,0.85,1
7,CUS007,Hortense Jean,Local,0.33,1
8,CUS008,Antoinette De Sousa Le Allard,Local,0.96,3
9,CUS009,Auguste Pereira,Touriste,0.61,0
10,CUS010,Jeanne Blanc,Local,0.32,3
11,CUS011,Alain Pichon,Local,0.68,3
12,CUS012,Adrienne Raynaud,Professionnel,0.72,1
13,CUS013,Henriette Labbé Le Courtois,Local,0.33,1
14,CUS014,Caroline Germain,Local,0.88,1
15,CUS015,Richard Guillot-Girard,Local,0.4,1
16,CUS016,Arnaude Boulanger,Professionnel,0.84,1
17,CUS017,Josette Guyon,Touriste,0.79,2
18,CUS018,Thibault du Fernandes,Local,0.38,3
19,CUS019,Charlotte Diallo du Courtois,Local,0.53,4
20,CUS020,Jacqueline de Rossi,Touriste,0.83,3
21,CUS021,Jean Vallet du Labbé,Local,0.32,0
22,CUS022,Jeanne Ferrand,Local,0.75,3
23,CUS023,Benoît du Allard,Local,0.83,1
24,CUS024,Alexandrie du Guillon,Local,0.41,5
25,CUS025,Thibault de Hebert,Professionnel,0.68,3
26,CUS026,Gilbert François-Thomas,Local,0.6,2
27,CUS027,Audrey Germain,Local,0.59,1
28,CUS028,Pierre-Antoine Riou,Local,0.96,2
29,CUS029,Maggie Faure,Local,0.98,2
30,CUS030,Dorothée de la Reynaud,Local,0.5,0
31,CUS031,Alfred Nicolas,Touriste,0.65,0
32,CUS032,Isaac Joseph,Local,0.94,1
33,CUS033,Henriette Blanchard,Local,0.99,2
34,CUS034,Alice Berthelot,Local,0.81,3
35,CUS035,Noémi Le Roux,Local,0.88,1
36,CUS036,Robert Simon,Local,0.71,1
37,CUS037,Henri du Robert,Local,0.46,1
38,CUS038,Olivier Pasquier,Touriste,0.57,1
39,CUS039,Christophe Bourgeois-Benoit,Local,0.38,4
40,CUS040,Océane Pichon,Local,0.67,1
41,CUS041,Maurice Breton,Professionnel,0.93,2
42,CUS042,Isaac Guyon,Touriste,0.93,3
43,CUS043,Marine de Petitjean,Local,0.93,1
44,CUS044,Honoré Bailly,Local,0.76,0
45,CUS045,Julien Jean,Local,0.68,2
46,CUS046,Aurore Boyer,Touriste,0.47,3
47,CUS047,Juliette Couturier,Touriste,0.7,0
48,CUS048,Maurice Reynaud,Local,0.49,2
49,CUS049,Céline-Élodie Torres,Professionnel,0.74,3
50,CUS050,David-Rémy Meyer,Local,0.81,1
51,CUS051,Gilbert Gay,Touriste,0.42,4
52,CUS052,Aimé Letellier Le Rodrigues,Professionnel,0.6,4
53,CUS053,Véronique Cordier,Professionnel,0.52,1
54,CUS054,Marguerite Imbert,Professionnel,0.79,1
55,CUS055,Laurence Thibault,Touriste,0.99,1
56,CUS056,Benjamin Bernier,Professionnel,0.82,3
57,CUS057,André Blanc du Perret,Touriste,0.87,5
58,CUS058,Grégoire Aubry,Touriste,0.86,2
59,CUS059,Adélaïde Hoarau,Local,0.7,0
60,CUS060,Marianne Lopez,Local,0.68,2
61,CUS061,Renée Gaudin,Local,0.88,1
62,CUS062,Timothée-Théophile Turpin,Local,0.84,1
63,CUS063,Lucas de la Colin,Local,0.34,3
64,CUS064,Alain du Gonzalez,Professionnel,0.66,2
65,CUS065,Lucy Duval,Local,0.35,0
66,CUS066,Dominique de la Le Gall,Professionnel,0.89,2
67,CUS067,Martin Charrier,Local,0.48,3
68,CUS068,Maurice Thierry,Professionnel,0.82,3
69,CUS069,Inès Pichon,Local,0.83,0
70,CUS070,Corinne Jacquet,Local,0.33,0
71,CUS071,Marguerite de la Berger,Professionnel,0.79,1
72,CUS072,Dorothée Lemonnier,Local,0.63,1
73,CUS073,Guillaume Blanchard,Local,0.73,1
74,CUS074,Sophie De Sousa,Local,0.74,3
75,CUS075,Yves Moreno,Local,0.75,0
76,CUS076,Margaud-Marianne Adam,Local,0.96,3
77,CUS077,Andrée de Gaillard,Local,0.96,3
78,CUS078,Guillaume Philippe,Local,0.37,0
79,CUS079,Bernard Navarro,Local,0.78,0
80,CUS080,Maurice Girard,Local,0.89,0
81,CUS081,Victor Ferrand de Jacquet,Touriste,0.5,0
82,CUS082,Michèle Lévêque,Touriste,0.74,4
83,CUS083,Laetitia Sauvage,Touriste,0.86,3
84,CUS084,Luc de la Le Roux,Local,0.95,4
85,CUS085,Laetitia Hubert du Poulain,Professionnel,0.65,3
86,CUS086,Vincent Le Pruvost,Local,0.93,0
87,CUS087,Gabriel Potier,Local,0.97,4
88,CUS088,Grégoire Michel,Local,0.77,3
89,CUS089,Guy Jacquet-Marchal,Local,0.34,3
90,CUS090,Éric Lecoq-Pasquier,Local,0.4,2
91,CUS091,Augustin-Laurent Chartier,Local,0.79,0
92,CUS092,Adrien Leroux,Touriste,0.79,0
93,CUS093,Isaac Riou,Local,0.99,2
94,CUS094,François Imbert,Professionnel,0.99,2
95,CUS095,Christophe-Jacques Lévêque,Touriste,0.69,2
96,CUS096,Noël Evrard-Martinez,Local,0.31,1
97,CUS097,Rémy Alexandre,Local,0.38,4
98,CUS098,Susanne-Zoé Valette,Local,0.91,2
99,CUS099,Claire Guichard-Fleury,Professionnel,0.33,3
100,CUS100,Françoise Guichard,Local,0.98,3
101,CUS101,Lucie Le Chauveau,Touriste,0.71,1
102,CUS102,Sébastien Martel de la Bouchet,Local,0.97,3
103,CUS103,Valérie Simon,Local,0.62,2
104,CUS104,Renée-Josette Benoit,Professionnel,0.99,2
105,CUS105,Agathe-Aurélie Evrard,Touriste,0.78,2
106,CUS106,Michèle Gaillard,Professionnel,0.81,4
107,CUS107,Julie Dufour,Local,0.56,2
108,CUS108,Cécile Fischer,Local,0.57,4
109,CUS109,Zoé Marchal,Local,0.34,8
110,CUS110,Suzanne Cousin,Local,0.39,2
111,CUS111,Marthe Lefebvre,Touriste,0.73,1
112,CUS112,Paul de la Blot,Touriste,0.66,4
113,CUS113,Michelle Hernandez,Professionnel,0.58,0
114,CUS114,Henri Daniel,Local,0.83,2
115,CUS115,Andrée Ramos,Local,0.31,2
116,CUS116,Joseph Girard-Bazin,Local,0.93,3
117,CUS117,Victor Lefebvre,Touriste,0.9,2
