employee_id,employee_code,employee_name,employee_role,employee_team,employee_department,employee_fixed_monthly_salary,employee_monthly_hours_contract,employee_hourly_rate
1,EMP001,Sophie Lemonnier,Chef de cuisine,1,Cuisine,3500,151.67,23.08
2,EMP002,Dominique de la Roy,Second de cuisine,1,Cuisine,2600,151.67,17.14
3,EMP003,Thierry Giraud,Chef de partie,1,Cuisine,2100,151.67,13.85
4,EMP004,Emmanuelle Ferrand,Chef de partie,1,Cuisine,2100,151.67,13.85
5,EMP005,Aurore De Oliveira Le Courtois,Commis de cuisine,1,Cuisine,1750,151.67,11.54
6,EMP006,Jeanne Poirier,Commis de cuisine,1,Cuisine,1750,151.67,11.54
7,EMP007,Gilles Marchal,Commis de cuisine,1,Cuisine,1750,151.67,11.54
8,EMP008,Margot-Philippine Aubert,Plongeur,1,Cuisine,1700,151.67,11.21
9,EMP009,Gilles Joubert,Plongeur,1,Cuisine,1700,151.67,11.21
10,EMP010,Agathe Vincent-Maillot,Directeur de salle,1,Salle,3200,151.67,21.1
11,EMP011,Victoire-Lucy Marion,Maître d'hôtel,1,Salle,2500,151.67,16.48
12,EMP012,Joseph du Launay,Chef de rang,1,Salle,2100,151.67,13.85
13,EMP013,Susan Fouquet,Chef de rang,1,Salle,2100,151.67,13.85
14,EMP014,Guy Ollivier,Chef de rang,1,Salle,2100,151.67,13.85
15,EMP015,Noël Bernier,Serveur,1,Salle,1900,151.67,12.53
16,EMP016,Rémy-Matthieu Dubois,Serveur,1,Salle,1900,151.67,12.53
17,EMP017,Bernard Pineau,Serveur,1,Salle,1900,151.67,12.53
18,EMP018,Caroline Robert,Serveur,1,Salle,1900,151.67,12.53
19,EMP019,Sébastien Lefebvre,Serveur,1,Salle,1900,151.67,12.53
20,EMP020,Joséphine Thibault Le Lemaire,Commis de salle,1,Salle,1800,151.67,11.87
21,EMP021,Stéphanie-Corinne Delorme,Commis de salle,1,Salle,1800,151.67,11.87
22,EMP022,Jean Coulon,Commis de salle,1,Salle,1800,151.67,11.87
23,EMP023,René Marin de la Girard,Runner,1,Salle,1750,151.67,11.54
24,EMP024,Augustin Regnier,Runner,1,Salle,1750,151.67,11.54
25,EMP025,Odette De Oliveira,Chef de cuisine,2,Cuisine,3500,151.67,23.08
26,EMP026,Anastasie Boyer,Second de cuisine,2,Cuisine,2600,151.67,17.14
27,EMP027,Guillaume-Louis Blondel,Chef de partie,2,Cuisine,2100,151.67,13.85
28,EMP028,Anastasie de la Berger,Chef de partie,2,Cuisine,2100,151.67,13.85
29,EMP029,Lucas Laine,Commis de cuisine,2,Cuisine,1750,151.67,11.54
30,EMP030,Catherine Cousin,Commis de cuisine,2,Cuisine,1750,151.67,11.54
31,EMP031,Nicolas Lefèvre-Humbert,Commis de cuisine,2,Cuisine,1750,151.67,11.54
32,EMP032,Noël Moreau,Plongeur,2,Cuisine,1700,151.67,11.21
33,EMP033,Frédérique de la Bigot,Plongeur,2,Cuisine,1700,151.67,11.21
34,EMP034,Thierry Lebon de Labbé,Directeur de salle,2,Salle,3200,151.67,21.1
35,EMP035,Thomas Maréchal,Maître d'hôtel,2,Salle,2500,151.67,16.48
36,EMP036,Geneviève-Juliette François,Chef de rang,2,Salle,2100,151.67,13.85
37,EMP037,Gilles Rousset,Chef de rang,2,Salle,2100,151.67,13.85
38,EMP038,Christine-Christelle Pereira,Chef de rang,2,Salle,2100,151.67,13.85
39,EMP039,Frédéric Morin,Serveur,2,Salle,1900,151.67,12.53
40,EMP040,Théophile Poirier,Serveur,2,Salle,1900,151.67,12.53
41,EMP041,Olivier de la Rousseau,Serveur,2,Salle,1900,151.67,12.53
42,EMP042,Martin Maillard,Serveur,2,Salle,1900,151.67,12.53
43,EMP043,Claude-Marine Legrand,Serveur,2,Salle,1900,151.67,12.53
44,EMP044,Roland Leroy-Breton,Commis de salle,2,Salle,1800,151.67,11.87
45,EMP045,Margot Daniel-Camus,Commis de salle,2,Salle,1800,151.67,11.87
46,EMP046,René Dos Santos,Commis de salle,2,Salle,1800,151.67,11.87
47,EMP047,Inès de la Lelièvre,Runner,2,Salle,1750,151.67,11.54
48,EMP048,René Valette,Runner,2,Salle,1750,151.67,11.54
